id,name,group,primary_type,additional_type(s)
720575940622136022,GNG.3177,GNG,LB3,
720575940622136573,AVLP.2803,AVLP,AN_AVLP_51,
720575940622137443,IPS.350,IPS,,
720575940622137633,PRW.262,PRW,CB0769,
720575940622138573,LO.ME.47,LO.ME,LMt3,CB3821
720575940622139862,GNG.4088,GNG,BM_InOm,
720575940622140109,LAL.272,LAL,CB0149,
720575940622140481,LO.SPS.2,LO.SPS,LTe18,
720575940622141208,LO.PVLP.757,LO.PVLP,LC18,
720575940622141965,GNG.3493,GNG,BM_InOm,
720575940622143757,IPS.681,IPS,WED040,
720575940622144648,PRW.261,PRW,,
720575940622146698,GNG.2905,GNG,BM_vOcci_vPoOr,
720575940622147873,IPS.GNG.14,IPS.GNG,DNge043,hb-1499778528
720575940622148391,AOTU.312,AOTU,AOTU059,pIP14
720575940622150152,GNG.3749,GNG,AN_GNG_165,
720575940622150209,AVLP.1608,AVLP,AVLP381,
720575940622150583,AVLP.982,AVLP,WED114,
720575940622151704,SLP.SMP.39,SLP.SMP,SLPpm3_H01,"SMP551, pSP7"
720575940622154266,GNG.585,GNG,CB2619,
720575940622155290,GNG.2769,GNG,AN_GNG_20,
720575940622155619,GNG.3748,GNG,BM_InOm,
720575940622156040,IPS.WED.40,IPS.WED,WED002e,WED002
720575940622156799,LO.PVLP.1079,LO.PVLP,LPLC2,
720575940622158369,IPS.170,IPS,CB0679,hb-5813043077
720575940622159117,GNG.3492,GNG,AN_GNG_192,
720575940622160460,AVLP.PVLP.13,AVLP.PVLP,AN_AVLP_PVLP_3,
720575940622160560,GNG.461,GNG,DNg71,
720575940622160705,SMP.SLP.1,SMP.SLP,AstA1,
720575940622161366,GNG.77,GNG,DNge054,
720575940622162456,PVLP.LO.91,PVLP.LO,LC9,
720575940622163020,AMMC.203,AMMC,JO-E,
720575940622165974,LH.AVLP.27,LH.AVLP,CB3092,aSP9
720575940622166664,VES.PLP.12,VES.PLP,AN_multi_115,
720575940622166998,WED.PVLP.5,WED.PVLP,WED029,
720575940622168052,IPS.58,IPS,CB0901,Ruby
720575940622168088,SAD.IPS.10,SAD.IPS,CB3437,B1
720575940622168712,AVLP.2115,AVLP,AVLP295,
720575940622170623,GNG.3491,GNG,BM_InOm,
720575940622171530,VES.149,VES,CB2056,
720575940622172540,LH.SLP.447,LH.SLP,LHAD1f4a,"LHAD1f4, pSP3"
720575940622172877,AVLP.453,AVLP,CB1569,
720575940622174463,LOP.PVLP.41,LOP.PVLP,LPLC2,
720575940622175401,AVLP.305,AVLP,CB0125,
720575940622176550,LO.PVLP.132,LO.PVLP,LC11,
720575940622179497,GNG.3176,GNG,JO-FDA,
720575940622180632,AVLP.1000,AVLP,CB2684,
720575940622182569,SMP.VES.3,SMP.VES,LHCENT11,
720575940622183194,SAD.SPS.2,SAD.SPS,CB0478,
720575940622184105,GNG.113,GNG,CB3703,
720575940622185213,AVLP.ICL.220,AVLP.ICL,CB3629,
720575940622185430,GNG.2840,GNG,BM_Vib,
720575940622186305,ICL.2,ICL,CL001,
720575940622188568,SAD.30,SAD,CB1231,
720575940622189388,PLP.IB.6,PLP.IB,IB059a,IB059
720575940622190550,LH.AVLP.67,LH.AVLP,CB1843,aSP9
720575940622190571,AVLP.1676,AVLP,AVLP205b,AVLP205
720575940622193546,PRW.190,PRW,CB3632,
720575940622195376,SMP.2315,SMP,SMP248a,"SMP248, pSP5"
720575940622195625,GNG.208,GNG,DNge003,
720575940622197313,GNG.1447,GNG,AN_GNG_SAD_21,
720575940622198230,GNG.2565,GNG,,
720575940622199593,PRW.175,PRW,,
720575940622199977,GNG.2839,GNG,JO-EVP,
720575940622200233,GNG.3067,GNG,LB3,
720575940622202150,LO.1079,LO,LC16,
720575940622202858,SAD.280,SAD,JO-E,
720575940622204086,LAL.PVLP.7,LAL.PVLP,CB3014,
720575940622204186,IPS.GNG.6,IPS.GNG,DNae003,PS040
720575940622204585,GNG.2056,GNG,BM_Taste,
720575940622204925,AVLP.SIP.3,AVLP.SIP,AVLP316,aIP8
720575940622207785,IPS.AMMC.3,IPS.AMMC,CB2351,
720575940622207997,IPS.LAL.96,IPS.LAL,CB2565,pIP13
720575940622208695,AVLP.2411,AVLP,CB2874,aIP2
720575940622209048,AVLP.1875,AVLP,AVLP541a,AVLP541
720575940622210056,AVLP.2336,AVLP,CB2404,
720575940622211012,GNG.2055,GNG,CB1482,
720575940622212045,GNG.4087,GNG,BM_InOm,
720575940622214920,PLP.508,PLP,PLP190,
720575940622215960,PLP.AVLP.22,PLP.AVLP,AVLP034,
720575940622217992,GNG.SAD.42,GNG.SAD,JO-FDP,
720575940622219190,LAL.FLA.1,LAL.FLA,SMP544,
720575940622219725,PLP.212,PLP,CL104,
720575940622224553,GOR.EPA.1,GOR.EPA,CL121,CL122
720575940622224903,SLP.SCL.21,SLP.SCL,,
720575940622224961,LAL.164,LAL,LAL082,
720575940622225800,GNG.1772,GNG,CB2607,
720575940622226292,AVLP.2435,AVLP,CB2995,
720575940622227197,SMP.331,SMP,SMP482,
720575940622227213,PLP.17,PLP,aMe20,
720575940622228173,AVLP.ICL.125,AVLP.ICL,CB2428,
720575940622229825,SPS.GNG.80,SPS.GNG,CB1825,
720575940622230337,VES.161,VES,CB2997,
720575940622234211,AMMC.SAD.43,AMMC.SAD,JO-EVL,
720575940622234689,AVLP.IPS.5,AVLP.IPS,LAL028,"LAL029, aSP16"
720575940622235272,LO.1189,LO,LT57,
720575940622235425,GNG.544,GNG,CB0484,
720575940622235930,GNG.842,GNG,CB0723,
720575940622235969,ICL.9,ICL,CL199,
720575940622236374,SPS.35,SPS,PLP229,
720575940622236671,PRW.312,PRW,,
720575940622237466,GNG.SPS.63,GNG.SPS,DNge152,
720575940622238205,AMMC.SPS.2,AMMC.SPS,CB3865,
720575940622238934,AVLP.1412,AVLP,CB2512,
720575940622239553,GNG.AVLP.64,GNG.AVLP,AN_AVLP_51,
720575940622245492,IPS.332,IPS,CB1421,
720575940622247861,PLP.IPS.9,PLP.IPS,CB0129,
720575940622248453,GNG.698,GNG,DNge148,
720575940622250120,IPS.LAL.41,IPS.LAL,LAL056,
720575940622251144,AVLP.ICL.304,AVLP.ICL,CB1190,
720575940622251411,SAD.48,SAD,CB1622,
720575940622252031,SMP.977,SMP,SMP029,aDN
720575940622253704,LO.PVLP.1626,LO.PVLP,LC16,
720575940622254375,AMMC.AVLP.18,AMMC.AVLP,CB1078,"B1-2, aPN1"
720575940622257544,IPS.199,IPS,,
720575940622257729,VES.LAL.15,VES.LAL,VES051,VES052
720575940622259811,GNG.2108,GNG,AN_GNG_LAL_1,
720575940622262493,AMMC.13,AMMC,AN_multi_30,
720575940622263066,GNG.165,GNG,DNge135,
720575940622263275,AVLP.2256,AVLP,AVLP055,
720575940622263821,GNG.3490,GNG,BM_InOm,
720575940622263873,GNG.VES.20,GNG.VES,CB0477,
720575940622264444,GNG.2496,GNG,AN_GNG_160,
720575940622266061,CAN.GOR.2,CAN.GOR,VES019,
720575940622266236,GNG.311,GNG,,
720575940622267201,IPS.205,IPS,CB2473,
720575940622267260,GNG.2107,GNG,BM_MaPa,
720575940622267350,AVLP.1769,AVLP,CL120b,CL120
720575940622268597,AVLP.ICL.247,AVLP.ICL,CB1911,
720575940622268853,LO.372,LO,LPLC1,
720575940622271472,SAD.AVLP.24,SAD.AVLP,CB2472,
720575940622271684,SAD.355,SAD,JO-EDM,
720575940622274124,AVLP.1795,AVLP,CB1780,
720575940622276744,GNG.778,GNG,AN_GNG_VES_1,
